healpix, glon, glat, ra, dec
0, 175.67459, -48.06732, 45.00000, 1.19375
1, 175.88429, -46.22844, 46.40625, 2.38802
2, 172.91702, -48.18682, 43.59375, 2.38802
3, 173.22155, -46.35429, 45.00000, 3.58332
4, 176.07553, -44.38921, 47.81250, 3.58332
5, 176.24801, -42.54970, 49.21875, 4.78019
6, 173.49899, -44.52083, 46.40625, 4.78019
7, 173.75001, -42.68656, 47.81250, 5.97916
8, 170.15048, -48.23665, 42.18750, 3.58332
9, 170.54999, -46.41288, 43.59375, 4.78019
10, 167.38293, -48.21484, 40.78125, 4.78019
11, 167.87667, -46.40223, 42.18750, 5.97916
12, 170.91386, -44.58734, 45.00000, 5.97916
13, 171.24369, -42.76020, 46.40625, 7.18076
14, 168.32644, -44.58675, 43.59375, 7.18076
15, 168.73470, -42.76864, 45.00000, 8.38554
16, 176.40142, -40.71001, 50.62500, 5.97916
17, 176.53537, -38.87025, 52.03125, 7.18076
18, 173.97508, -40.85157, 49.21875, 7.18076
19, 174.17451, -39.01600, 50.62500, 8.38554
20, 176.64941, -37.03051, 53.43750, 8.38554
21, 176.74303, -35.19095, 54.84375, 9.59407
22, 174.34844, -37.17998, 52.03125, 9.59407
23, 174.49686, -35.34364, 53.43750, 10.80692
24, 171.54073, -40.93161, 47.81250, 8.38554
25, 171.80597, -39.10173, 49.21875, 9.59407
26, 169.10347, -40.94811, 46.40625, 9.59407
27, 169.43435, -39.12540, 47.81250, 10.80692
28, 172.04010, -37.27072, 50.62500, 10.80692
29, 172.24364, -35.43876, 52.03125, 12.02470
30, 169.72861, -37.30070, 49.21875, 12.02470
31, 169.98721, -35.47423, 50.62500, 13.24801
32, 164.62278, -48.11983, 39.37500, 5.97916
33, 165.20907, -46.32071, 40.78125, 7.18076
34, 161.87863, -47.95043, 37.96875, 7.18076
35, 162.55491, -46.16702, 39.37500, 8.38554
36, 165.74342, -44.51736, 42.18750, 8.38554
37, 166.22907, -42.71011, 43.59375, 9.59407
38, 163.17174, -44.37779, 40.78125, 9.59407
39, 163.73308, -42.58319, 42.18750, 10.80692
40, 159.15918, -47.70588, 36.56250, 8.38554
41, 159.92201, -45.94028, 37.96875, 9.59407
42, 156.47297, -47.38586, 35.15625, 9.59407
43, 157.31815, -45.63994, 36.56250, 10.80692
44, 160.61849, -44.16702, 39.37500, 10.80692
45, 161.25316, -42.38671, 40.78125, 12.02470
46, 158.09076, -43.88434, 37.96875, 12.02470
47, 158.79580, -42.11982, 39.37500, 13.24801
48, 166.66873, -40.89929, 45.00000, 10.80692
49, 167.06460, -39.08518, 46.40625, 12.02470
50, 164.24223, -40.78363, 43.59375, 12.02470
51, 164.70193, -38.97949, 45.00000, 13.24801
52, 167.41845, -37.26805, 47.81250, 13.24801
53, 167.73170, -35.44817, 49.21875, 14.47751
54, 165.11441, -37.17113, 46.40625, 14.47751
55, 165.48148, -35.35887, 47.81250, 15.71386
56, 161.82984, -40.59987, 42.18750, 13.24801
57, 162.35171, -38.80699, 43.59375, 14.47751
58, 159.43751, -40.34704, 40.78125, 14.47751
59, 160.01944, -38.56657, 42.18750, 15.71386
60, 162.82142, -37.00850, 45.00000, 15.71386
61, 163.24112, -35.20480, 46.40625, 16.95776
62, 160.54455, -36.77896, 43.59375, 16.95776
63, 161.01531, -34.98466, 45.00000, 18.20996
64, 176.81567, -33.35170, 56.25000, 10.80692
65, 176.86667, -31.51292, 57.65625, 12.02470
66, 174.61963, -33.50714, 54.84375, 12.02470
67, 174.71648, -31.67067, 56.25000, 13.24801
68, 176.89534, -29.67479, 59.06250, 13.24801
69, 176.90087, -27.83752, 60.46875, 14.47751
70, 174.78702, -29.83439, 57.65625, 14.47751
71, 174.83072, -27.99852, 59.06250, 15.71386
72, 172.41685, -33.60601, 53.43750, 13.24801
73, 172.55983, -31.77268, 54.84375, 14.47751
74, 170.21084, -33.64621, 52.03125, 14.47751
75, 170.39995, -31.81684, 53.43750, 15.71386
76, 172.67250, -29.93896, 56.25000, 15.71386
77, 172.75461, -28.10507, 57.65625, 16.95776
78, 170.55476, -29.98636, 54.84375, 16.95776
79, 170.67528, -28.15501, 56.25000, 18.20996
80, 176.88238, -26.00133, 61.87500, 15.71386
81, 176.83889, -24.16646, 63.28125, 16.95776
82, 174.84695, -26.16329, 60.46875, 16.95776
83, 174.83491, -24.32894, 61.87500, 18.20996
84, 176.76934, -22.33319, 64.68750, 18.20996
85, 176.67254, -20.50184, 66.09375, 19.47122
86, 174.79372, -22.49576, 63.28125, 19.47122
87, 174.72231, -20.66405, 64.68750, 20.74238
88, 172.80574, -26.27126, 59.06250, 18.20996
89, 172.82531, -24.43777, 60.46875, 19.47122
90, 170.76130, -26.32303, 57.65625, 19.47122
91, 170.81243, -24.49070, 59.06250, 20.74238
92, 172.81257, -22.60490, 61.87500, 20.74238
93, 172.76661, -20.77294, 63.28125, 22.02431
94, 170.82807, -22.65831, 60.46875, 22.02431
95, 170.80744, -20.82616, 61.87500, 23.31796
96, 168.00540, -33.62580, 50.62500, 15.71386
97, 168.24035, -31.80118, 52.03125, 16.95776
98, 165.80456, -33.54301, 49.21875, 16.95776
99, 166.08474, -31.72387, 50.62500, 18.20996
100, 168.43703, -29.97458, 53.43750, 18.20996
101, 168.59571, -28.14626, 54.84375, 19.47122
102, 166.32276, -29.90172, 52.03125, 19.47122
103, 166.51912, -28.07687, 53.43750, 20.74238
104, 163.61254, -33.39626, 47.81250, 18.20996
105, 163.93704, -31.58323, 49.21875, 19.47122
106, 161.43370, -33.18412, 46.40625, 19.47122
107, 161.80131, -31.37775, 47.81250, 20.74238
108, 164.21559, -29.76604, 50.62500, 20.74238
109, 164.44888, -27.94501, 52.03125, 22.02431
110, 162.11931, -29.56590, 49.21875, 22.02431
111, 162.38854, -27.74894, 50.62500, 23.31796
112, 168.71639, -26.31649, 56.25000, 20.74238
113, 168.79884, -24.48555, 57.65625, 22.02431
114, 166.67399, -26.24961, 54.84375, 22.02431
115, 166.78731, -24.42022, 56.25000, 23.31796
116, 168.84261, -22.65374, 59.06250, 23.31796
117, 168.84701, -20.82138, 60.46875, 24.62432
118, 166.85874, -22.58902, 57.65625, 24.62432
119, 166.88770, -20.75633, 59.06250, 25.94448
120, 164.63725, -26.12046, 53.43750, 23.31796
121, 164.78078, -24.29269, 54.84375, 24.62432
122, 162.60949, -25.92721, 52.03125, 24.62432
123, 162.78234, -24.10103, 53.43750, 25.94448
124, 164.87922, -22.46203, 56.25000, 25.94448
125, 164.93208, -20.62880, 57.65625, 27.27961
126, 162.90695, -22.27071, 54.84375, 27.27961
127, 162.98283, -20.43658, 56.25000, 28.63099
128, 153.82823, -46.99042, 33.75000, 10.80692
129, 154.75088, -45.26583, 35.15625, 12.02470
130, 151.23274, -46.52001, 32.34375, 12.02470
131, 152.22744, -44.81815, 33.75000, 13.24801
132, 155.59551, -43.52939, 36.56250, 13.24801
133, 156.36744, -41.78200, 37.96875, 14.47751
134, 153.13946, -43.10213, 35.15625, 14.47751
135, 153.97430, -41.37298, 36.56250, 15.71386
136, 148.69368, -45.97540, 30.93750, 13.24801
137, 149.75457, -44.29740, 32.34375, 14.47751
138, 146.21749, -45.35772, 29.53125, 14.47751
139, 147.33847, -43.70439, 30.93750, 15.71386
140, 150.72895, -42.60281, 33.75000, 15.71386
141, 151.62238, -40.89281, 35.15625, 16.95776
142, 148.36991, -42.03198, 32.34375, 16.95776
143, 149.31729, -40.34179, 33.75000, 18.20996
144, 157.07119, -40.02443, 39.37500, 15.71386
145, 157.71061, -38.25740, 40.78125, 16.95776
146, 154.73669, -39.63163, 37.96875, 16.95776
147, 155.43066, -37.87887, 39.37500, 18.20996
148, 158.28892, -36.48152, 42.18750, 18.20996
149, 158.80881, -34.69735, 43.59375, 19.47122
150, 156.05960, -36.11543, 40.78125, 19.47122
151, 156.62639, -34.34194, 42.18750, 20.74238
152, 152.43965, -39.16845, 36.56250, 18.20996
153, 153.18488, -37.43063, 37.96875, 19.47122
